actual,proposed
-0.8705514073371887,-0.8676038980484009
-0.9996643662452698,-0.9974545240402222
-1.0644819736480713,-1.0633149147033691
-1.3499605655670166,-1.3470228910446167
-1.562363624572754,-1.5589995384216309
-1.791113257408142,-1.7891957759857178
-2.0213654041290283,-2.0170812606811523
-2.473745346069336,-2.4711484909057617
-2.884892463684082,-2.473745346069336
-3.1076269149780273,-2.8999130725860596
-3.464747428894043,-3.1076269149780273
-3.6787192821502686,-3.4576711654663086
-3.880425453186035,-3.6824653148651123
-3.8686609268188477,-3.8686609268188477
-3.996548652648926,-3.996548652648926
-4.049910068511963,-4.049910068511963
-4.1889519691467285,-4.1931915283203125
-4.37698221206665,-4.37698221206665
-4.459506988525391,-4.459506988525391
-4.810719966888428,-4.815515041351318
-5.204817771911621,-5.204817771911621
-5.441202640533447,-5.441202640533447
-5.690828323364258,-5.685257911682129
-5.981428623199463,-5.987244129180908
-6.301506042480469,-6.301506042480469
-6.604323387145996,-6.604323387145996
-6.81581974029541,-6.822286128997803
-7.20253324508667,-7.195815563201904
-7.376453876495361,-7.369630813598633
-7.451131343841553,-7.464915752410889
-7.60559606552124,-7.451131343841553
-7.7700581550598145,-7.619559288024902
-7.708244800567627,-7.762994289398193
-7.71612548828125,-7.644491195678711
-7.687557697296143,-7.694705486297607
-7.706593990325928,-7.692249298095703
-7.782426357269287,-7.782426357269287
-7.92133903503418,-7.914114475250244
-7.954692840576172,-7.940331935882568
-8.091364860534668,-8.0
-8.222055435180664,-8.0
-8.302766799926758,-8.0
-8.57872486114502,-8.0
-8.678116798400879,-8.0
-8.615765571594238,-8.0
-8.570172309875488,-8.0
-8.64867877960205,-8.0
-8.775749206542969,-8.0
-8.736632347106934,-8.0
-8.784004211425781,-8.0
-8.787860870361328,-8.0
-8.751410484313965,-8.0
-8.79182243347168,-8.0
-8.776637077331543,-8.0
-8.71284008026123,-8.0
-8.617321968078613,-8.0
-8.51936149597168,-8.0
-8.462685585021973,-8.0
-8.424683570861816,-8.0
-8.373214721679688,-8.0
-8.273563385009766,-8.0
-8.423690795898438,-8.0
-8.481781959533691,-8.0
-8.543587684631348,-8.0
-8.545330047607422,-8.0
-8.485000610351562,-8.0
-8.39150333404541,-8.0
-8.3020601272583,-8.0
-8.208011627197266,-8.0
-8.25341510772705,-8.0
-8.22994327545166,-8.0
-8.208462715148926,-8.0
-8.005006790161133,-8.0
-7.849761962890625,-7.976938247680664
-7.726785182952881,-7.842792987823486
-7.526437282562256,-7.685266971588135
-7.252095699310303,-7.436807155609131
-6.997929573059082,-7.1836419105529785
-6.936916351318359,-6.943708419799805
-6.6859893798828125,-6.69266939163208
-6.561649799346924,-6.568248271942139
-6.545396327972412,-6.525912284851074
-6.566566467285156,-6.5410990715026855
-6.507266521453857,-6.494815349578857
-6.411813735961914,-6.39968204498291
-6.466506004333496,-6.460468292236328
-6.439602851867676,-6.433621883392334
-6.344143390655518,-6.338240146636963
-6.251317024230957,-6.257165908813477
-6.154409408569336,-6.154409408569336
-6.062010288238525,-6.06773042678833
-5.926339149475098,-5.932002067565918
-5.902513027191162,-5.919516086578369
-5.82130765914917,-5.82130765914917
-5.723479747772217,-5.810084819793701
-5.555794715881348,-5.706813812255859
-5.450235843658447,-5.539449691772461
-5.400792598724365,-5.434090614318848
-5.299263000488281,-5.363092422485352
-5.229514122009277,-5.240260601043701
-4.9708781242370605,-4.991777420043945
-4.786121845245361,-4.786121845245361
-4.544774532318115,-4.544774532318115
-4.368779182434082,-4.3640923500061035
-4.254521369934082,-4.249984264373779
-4.100152492523193,-4.095791816711426
-4.033385276794434,-4.012226581573486
-4.006046295166016,-3.9977283477783203
-3.8414673805236816,-3.8295836448669434
-3.7159481048583984,-3.71213436126709
-3.6358752250671387,-3.6358752250671387
-3.5039772987365723,-3.5148255825042725
-3.3597419261932373,-3.3597419261932373
-3.1790361404418945,-3.1790361404418945
-2.9663443565368652,-2.975708246231079
-2.7310028076171875,-2.7339043617248535
-2.6327948570251465,-2.7193949222564697
-2.5256075859069824,-2.615889072418213
-2.3230535984039307,-2.511996269226074
-2.1122145652770996,-2.3154613971710205
-2.093648672103882,-2.0959696769714355
-1.8593391180038452,-1.8614202737808228
-1.7221763134002686,-1.7241113185882568
-1.5193934440612793,-1.5211156606674194
-1.3514580726623535,-1.3483966588974
-1.196160912513733,-1.196160912513733
-1.0284212827682495,-1.026125431060791
-0.9074646234512329,-0.9054597616195679
-0.8478553295135498,-0.8459960222244263
-0.743115246295929,-0.7415041923522949
-0.6656867861747742,-0.6635491251945496
-0.5762836933135986,-0.5762836933135986
-0.4746462106704712,-0.47414425015449524
-0.39351657032966614,-0.39310121536254883
-0.3045561909675598,-0.3048756718635559
-0.16178196668624878,-0.16178196668624878
0.021411053836345673,0.02143363654613495
0.1739450991153717,0.1739450991153717
0.33214718103408813,0.17376163601875305
0.47762802243232727,0.3335496485233307
0.5641230344772339,0.4786328673362732
0.6363716721534729,0.5647156238555908
0.7762942910194397,0.6357033252716064
0.7722159624099731,0.7722159624099731
0.8431587219238281,0.8422636985778809
0.9146641492843628,0.9146641492843628
1.0031548738479614,1.0031548738479614
1.148546576499939,1.1473244428634644
1.186606526374817,1.1878728866577148
1.2087761163711548,1.2100715637207031
1.2527846097946167,1.2527846097946167
1.2557258605957031,1.2570754289627075
1.3771753311157227,1.3771753311157227
1.4383589029312134,1.4368170499801636
1.4831898212432861,1.4831898212432861
1.5978573560714722,1.5961508750915527
1.71114981174469,1.709328055381775
1.7285759449005127,1.7267359495162964
1.774680256843567,1.7727900743484497
1.8320928812026978,1.8320928812026978
1.8411860466003418,1.8281760215759277
1.8269667625427246,1.833288550376892
1.8202816247940063,1.8309067487716675
1.9427217245101929,1.8202816247940063
1.9468917846679688,1.9427217245101929
1.9710091352462769,1.9710091352462769
2.048299551010132,2.048299551010132
2.1045289039611816,2.106780767440796
2.2634475231170654,2.2707130908966064
2.38297700881958,2.38297700881958
2.5096757411956787,2.5096757411956787
2.6458611488342285,2.6458611488342285
2.635314702987671,2.63812518119812
2.809671401977539,2.8126754760742188
2.947167158126831,2.947167158126831
2.978602409362793,2.978602409362793
3.1008124351501465,3.1008124351501465
3.325953722000122,3.3294827938079834
3.467573881149292,3.474958896636963
3.598205804824829,3.594393014907837
3.7116260528564453,3.7116260528564453
3.68060302734375,3.707707405090332
3.6800832748413086,3.672816276550293
3.697733163833618,3.6722891330718994
3.6620657444000244,3.6898787021636963
3.6620657444000244,3.6620657444000244
3.645495891571045,3.649393081665039
3.6696815490722656,3.6736199855804443
3.691707134246826,3.687751054763794
3.684936046600342,3.6809866428375244
3.7487435340881348,3.7487435340881348
3.7866406440734863,3.7866406440734863
3.9066033363342285,3.8983731269836426
4.040141582489014,4.031741619110107
4.134289264678955,4.134289264678955
4.1937689781188965,4.198101043701172
4.234358310699463,4.238737106323242
4.53478479385376,4.520931243896484
4.7183427810668945,4.7136054039001465
4.838560104370117,4.843415260314941
4.982421398162842,4.992439270019531
5.259788990020752,5.254569053649902
5.331806659698486,5.33707857131958
5.309089660644531,5.314337253570557
5.285695552825928,5.303840637207031
5.29315710067749,5.264767169952393
5.375741481781006,5.2878923416137695
5.349009990692139,5.359706401824951
5.32385778427124,5.329227447509766
5.3398637771606445,5.356043815612793
5.373654365539551,5.379131317138672
5.416001319885254,5.432626247406006
5.458057403564453,5.458057403564453
5.429514408111572,5.429514408111572
5.468887805938721,5.47446870803833
5.511183738708496,5.511183738708496
5.663514137268066,5.657765865325928
5.726415634155273,5.732206344604492
5.715917110443115,5.721738338470459
5.8579206466674805,5.863862037658691
5.989060878753662,6.001161575317383
6.136337757110596,6.130191326141357
6.24937629699707,6.243172645568848
6.40855073928833,6.402266025543213
6.584280490875244,6.584280490875244
6.644991874694824,6.6034111976623535
6.667771816253662,6.62581729888916
6.595970153808594,6.654902935028076
6.589572429656982,6.58317232131958
6.586897850036621,6.593307971954346
6.679241180419922,6.679241180419922
6.670230388641357,6.6897783279418945
6.601879119873047,6.608423709869385
6.626331329345703,6.626331329345703
6.55558443069458,6.562185764312744
6.607232570648193,6.607232570648193
6.697229862213135,6.697229862213135
6.72791051864624,6.72791051864624
6.77415657043457,6.767465114593506
6.901368618011475,6.8813886642456055
7.038383960723877,7.01848840713501
7.124235153198242,7.111025333404541
7.1174492835998535,7.1108784675598145
7.312524318695068,7.305857181549072
7.249556064605713,7.242933750152588
7.18691349029541,7.200173377990723
7.206714153289795,7.21342134475708
7.071566581726074,7.166872024536133
7.046905994415283,7.038540363311768
6.9118781089782715,7.027060031890869
6.846205234527588,6.86593770980835
6.960421562194824,6.967130184173584
6.976823806762695,6.990427494049072
6.98351526260376,6.98351526260376
7.0074920654296875,7.0074920654296875
7.043248653411865,7.043248653411865
7.0813727378845215,7.06760311126709
7.1410956382751465,7.134259223937988
7.246038913726807,7.239234924316406
7.30072021484375,7.30072021484375
7.2554779052734375,7.2554779052734375
7.311885833740234,7.311885833740234
7.205308437347412,7.211929798126221
7.166045188903809,7.172678470611572
7.14230489730835,7.148930549621582
7.045052528381348,7.0516462326049805
6.959856986999512,6.953286647796631
6.837348937988281,6.837348937988281
6.640456676483154,6.791754722595215
6.479015350341797,6.588895797729492
6.289709091186523,6.427855014801025
6.264420509338379,6.270746231079102
6.165192604064941,6.171457290649414
6.056576728820801,6.050380706787109
5.879182815551758,5.867165565490723
5.749377250671387,5.743526935577393
5.623164176940918,5.611782073974609
5.557300090789795,5.546138286590576
5.547664165496826,5.531105995178223
5.506086826324463,5.500649929046631
5.46441125869751,5.459036827087402
5.368185997009277,5.368185997009277
5.316546440124512,5.3113250732421875
5.174846172332764,5.179956436157227
5.025224685668945,5.015259265899658
4.880853652954102,4.880853652954102
4.713181495666504,4.717893123626709
4.900768280029297,4.9056501388549805
4.74045991897583,4.745205402374268
4.456222057342529,4.659641265869141
4.233999252319336,4.414775371551514
3.9698784351348877,4.175928592681885
3.6542904376983643,3.914137840270996
3.8887248039245605,4.128093719482422
3.800722599029541,3.8139402866363525
3.406125068664551,3.426560640335083
3.0626652240753174,3.081712484359741
2.7723958492279053,2.7939674854278564
2.9502902030944824,2.9698805809020996
2.5180487632751465,2.5249857902526855
1.771847128868103,1.7845813035964966
1.6085131168365479,1.6229757070541382
1.4717628955841064,1.4855766296386719
1.4067884683609009,1.413609266281128
1.2588932514190674,1.2630903720855713
1.5051610469818115,1.5102711915969849
1.5533753633499146,1.5533753633499146
1.5995454788208008,1.6078544855117798
1.6528700590133667,1.6557761430740356
1.6527326107025146,1.6646085977554321
1.6395930051803589,1.6425769329071045
2.0919413566589355,2.0340394973754883
2.196866512298584,2.0686557292938232
2.158440113067627,2.1555373668670654
2.057966709136963,2.121020793914795
2.0150094032287598,2.029517650604248
1.9704948663711548,1.9785912036895752
1.9181538820266724,1.9262763261795044
2.3898143768310547,2.4000909328460693
2.392608880996704,2.40317440032959
2.2167415618896484,2.242793321609497
1.9826000928878784,2.0076451301574707
1.9280521869659424,1.9485464096069336
1.7155122756958008,1.7346664667129517
